subclass,accuracy,false_negative_rate,mean_bertscore_f1,most_common_uncertainty_type
whom,0.7173792337590228,0.88,0.8684127601981163,aleatoric
what,0.7203107658157603,0.8507462686567164,0.8661348022038664,aleatoric
when,0.7162687395891172,0.89,0.8487812498211861,aleatoric
where,0.7162687395891172,0.89,0.8593368029594421,aleatoric
NK,0.7351471404775125,0.72,0.9006668648123741,unclear
ICL,0.7046085508051083,0.995,0.8855002471804618,unclear
polysemy,0.7606885063853415,0.49,0.878272658586502,aleatoric
co-reference,0.8134369794558579,0.015,0.8938967528939247,unclear
