bert_precision,bert_recall,bert_f1
0.8760119676589966,0.8617677688598633,0.86883145570755
0.8670933842658997,0.8468821048736572,0.8568686246871948
0.919083297252655,0.902866780757904,0.9109028577804565
0.9164927005767822,0.8807382583618164,0.8982598185539246
0.8796778321266174,0.8854955434799194,0.8825770616531372
0.868095874786377,0.8680081367492676,0.8680520057678223
0.8877491354942322,0.9007488489151001,0.8942017555236816
0.9179470539093018,0.8863675594329834,0.9018809795379639
0.9056648015975952,0.9080871343612671,0.9068743586540222
0.8796175718307495,0.8867274522781372,0.8831582069396973
0.8930897116661072,0.8742483854293823,0.8835686445236206
0.8942294120788574,0.87530916929245,0.8846681118011475
0.9483729600906372,0.8537863492965698,0.8985974788665771
0.8806973695755005,0.8617216348648071,0.8711061477661133
0.8448498845100403,0.8644238710403442,0.8545247912406921
0.9200451970100403,0.9397648572921753,0.9298005104064941
0.9168213605880737,0.9061132669448853,0.9114358425140381
0.9052129983901978,0.8674166798591614,0.8859118223190308
0.8899582624435425,0.8958441615104675,0.892891526222229
0.8679727911949158,0.8682640790939331,0.8681184649467468
0.88927161693573,0.8805325627326965,0.8848804831504822
0.8948959708213806,0.8859508037567139,0.8904008865356445
0.9250022172927856,0.9136990308761597,0.9193159341812134
0.9308501482009888,0.9098581075668335,0.9202343821525574
0.9536506533622742,0.9351053237915039,0.9442869424819946
0.8483192324638367,0.8878654837608337,0.8676419854164124
0.8942182064056396,0.875922679901123,0.8849759101867676
0.9627063870429993,0.9393017292022705,0.9508600831031799
0.8865463733673096,0.8630220293998718,0.8746260404586792
0.8849483728408813,0.8717450499534607,0.8782971501350403
0.9376382827758789,0.9349051713943481,0.9362697601318359
0.8835594654083252,0.8987365961074829,0.8910834193229675
0.888214647769928,0.9196580648422241,0.9036628603935242
0.8585416078567505,0.8555838465690613,0.8570602536201477
0.89481520652771,0.8749855756759644,0.8847892880439758
0.8848561644554138,0.8693705797195435,0.8770450353622437
0.8590794801712036,0.8823347687721252,0.8705517649650574
0.8920457363128662,0.8974781036376953,0.8947536945343018
0.9067429304122925,0.8966761827468872,0.9016814827919006
0.8943143486976624,0.858761191368103,0.876177191734314
0.8449978232383728,0.861636757850647,0.853236198425293
0.8955104351043701,0.8767255544662476,0.8860184550285339
0.8615957498550415,0.8610380291938782,0.8613168001174927
0.871665358543396,0.8788356184959412,0.8752358555793762
0.9172700047492981,0.9329521656036377,0.9250446557998657
0.8455871939659119,0.8550539016723633,0.8502941727638245
0.8862763047218323,0.8890846967697144,0.8876782655715942
0.918136477470398,0.9293859601020813,0.9237269163131714
0.8884519934654236,0.8783695697784424,0.8833819627761841
0.8894716501235962,0.8903034925460815,0.8898873925209045
0.9655059576034546,0.9740866422653198,0.9697772860527039
0.9116395711898804,0.9147762060165405,0.9132051467895508
0.8991444706916809,0.8964574933052063,0.897799015045166
0.9002429246902466,0.884669840335846,0.8923884034156799
0.8932383060455322,0.8856847882270813,0.8894455432891846
0.8611616492271423,0.8802333474159241,0.8705930709838867
0.8923848867416382,0.8691454529762268,0.8806118965148926
0.9432774782180786,0.9411407113075256,0.9422078132629395
0.8826702237129211,0.8595660924911499,0.8709649443626404
0.8514459133148193,0.8671000003814697,0.8592016696929932
0.8688033223152161,0.8682541251182556,0.8685286641120911
0.9313400387763977,0.9214181303977966,0.9263525009155273
0.8760753273963928,0.8934639692306519,0.884684145450592
0.9076589941978455,0.9177222847938538,0.912662923336029
0.8729264140129089,0.8848060369491577,0.8788261413574219
0.895109236240387,0.9099702835083008,0.9024786353111267
0.8556556105613708,0.8461839556694031,0.8508934378623962
0.858012855052948,0.8523709774017334,0.8551825881004333
0.9237527251243591,0.9244776368141174,0.924115002155304
0.8660550713539124,0.9070644378662109,0.886085569858551
0.872253954410553,0.8664931058883667,0.8693639636039734
0.9017139077186584,0.9152644872665405,0.9084386229515076
0.8882858753204346,0.890803337097168,0.889542818069458
0.8894554972648621,0.8701517581939697,0.8796976804733276
0.9023101329803467,0.8953757882118225,0.8988295793533325
0.9342573285102844,0.9098268747329712,0.9218802452087402
0.9062113165855408,0.8942068815231323,0.9001691341400146
0.8923067450523376,0.881973147392273,0.8871098756790161
0.9335436820983887,0.9170541167259216,0.9252254366874695
0.8806743621826172,0.8828959465026855,0.8817837834358215
0.8785377740859985,0.9010934829711914,0.8896726965904236
0.9072194695472717,0.9003178477287292,0.9037554860115051
0.8999494314193726,0.8831211924552917,0.891455888748169
0.8797765970230103,0.8921089172363281,0.8858998417854309
0.9090154767036438,0.8934035301208496,0.9011419415473938
0.8597720265388489,0.8703500628471375,0.8650286793708801
0.9125331044197083,0.9019683003425598,0.9072199463844299
0.9595651626586914,0.964111328125,0.9618328809738159
0.8823309540748596,0.8870757222175598,0.8846969604492188
0.9343065619468689,0.9406258463859558,0.9374555349349976
0.9082062244415283,0.903802216053009,0.9059988856315613
0.8857610821723938,0.8995985388755798,0.8926262259483337
0.9302008152008057,0.8916075825691223,0.910495400428772
0.8873371481895447,0.880577027797699,0.8839442133903503
0.8872228264808655,0.9002901911735535,0.8937087655067444
0.9224824905395508,0.932283878326416,0.9273573160171509
0.8653469085693359,0.8680732250213623,0.8667079210281372
0.8827691674232483,0.8791788220405579,0.8809703588485718
0.9200607538223267,0.8992549777030945,0.9095389246940613
0.9115961194038391,0.8912807703018188,0.9013239145278931
0.9292000532150269,0.9124636054039001,0.9207558035850525
0.9219834804534912,0.917327880859375,0.9196498394012451
0.9095070362091064,0.931890606880188,0.9205628037452698
0.8697246313095093,0.8737695217132568,0.8717424273490906
0.872681736946106,0.8900377750396729,0.8812742829322815
0.9081755876541138,0.888025164604187,0.8979873657226562
0.9053099155426025,0.9020349383354187,0.9036694169044495
0.8848947286605835,0.8916678428649902,0.8882683515548706
0.9517116546630859,0.9285953044891357,0.9400113821029663
0.9014698266983032,0.9132972955703735,0.9073449969291687
0.876685380935669,0.872439980506897,0.8745575547218323
0.8921340107917786,0.9214372634887695,0.9065489172935486
0.862788736820221,0.8990854620933533,0.8805632591247559
0.867500901222229,0.885306715965271,0.876313328742981
0.8994988203048706,0.8799604177474976,0.8896223306655884
0.8849116563796997,0.8773320913314819,0.8811056017875671
0.9127960205078125,0.9177767634391785,0.9152795672416687
0.8707367181777954,0.8734550476074219,0.8720937371253967
0.9209024906158447,0.9419272541999817,0.9312962889671326
0.8798368573188782,0.875739336013794,0.8777833580970764
